"species","rival","plot","aic"
"DO","None","17","294.368239447535"
"DO","None","22","error"
"PB","DO","2","1297.16104419298"
"PB","DO","4","585.13264652605"
"PB","DO","8","622.814771987851"
"PB","DO","11","440.115191154008"
"PB","DO","12","252.955080054569"
"PB","DO","14","203.34748466046"
"PB","DO","17","549.280133530546"
"PB","DO","22","1523.71065310675"
"PP","PB","2","1029.520250483"
"PP","PB","4","1400.53742145154"
"PP","PB","8","1310.50981808111"
"PP","PB","11","1133.79927580935"
"PP","PB","12","1212.68724127585"
"PP","PB","14","865.193525908678"
"PP","PB","17","1085.19432855148"
"PP","PB","22","232.519465449191"
"DM","PB","2","678.951076781451"
"DM","PB","4","912.729937538843"
"DM","PB","8","358.032372330002"
"DM","PB","11","1291.9056876029"
"DM","PB","12","1600.04690626724"
"DM","PB","14","2323.13579014911"
"DM","PB","17","1585.89338825204"
"DM","PB","22","753.693766373833"
"OT","PB","2","515.860556253861"
"OT","PB","4","280.600546433741"
"OT","PB","8","288.781649854856"
"OT","PB","11","339.788259577499"
"OT","PB","12","482.766355321991"
"OT","PB","14","290.584062626995"
"OT","PB","17","406.761807819263"
"OT","PB","22","270.967078716242"
"DO","PB","2","262.110331320462"
"DO","PB","4","704.52576445882"
"DO","PB","8","1223.29877215658"
"DO","PB","11","464.400406086373"
"DO","PB","12","635.664842076447"
"DO","PB","14","192.130174641533"
"DO","PB","17","295.918590930104"
"DO","PB","22","error"
"PB","None","2","1298.75917629698"
"PB","None","4","583.422763628042"
"PB","None","8","620.816842205526"
"PB","None","11","438.300053218274"
"PB","None","12","253.025647189099"
"PB","None","14","201.947867313378"
"PB","None","17","547.366335441568"
"PB","None","22","1521.92479452599"
