"species","rival","plot","aic"
"PP","None","2","403.928288389225"
"PP","None","4","902.07951521438"
"PP","None","8","623.617733972131"
"PP","None","11","646.68806883753"
"PP","None","12","644.979524517223"
"PP","None","14","558.379435567746"
"PP","None","17","694.877384587923"
"PP","None","22","156.477548705443"
"DM","PP","2","167.830981117256"
"DM","PP","4","50.9585497305474"
"DM","PP","8","56.3515248805257"
"DM","PP","11","523.277847964624"
"DM","PP","12","349.601006240862"
"DM","PP","14","699.359342130722"
"DM","PP","17","307.741253784502"
"DM","PP","22","131.65318290441"
"OT","PP","2","152.093351501254"
"OT","PP","4","97.7221152846251"
"OT","PP","8","70.9431154850444"
"OT","PP","11","107.284720380983"
"OT","PP","12","158.192614437667"
"OT","PP","14","104.177904359855"
"OT","PP","17","143.06074340962"
"OT","PP","22","113.394557242321"
"DO","PP","2","81.4206583892348"
"DO","PP","4","427.225126729817"
"DO","PP","8","491.996823898684"
"DO","PP","11","32.9817143557969"
"DO","PP","12","207.766179735488"
"DO","PP","14","168.808512871781"
"DO","PP","17","219.213178937921"
"DO","PP","22","error"
"PB","PP","2","637.430975511138"
"PB","PP","4","199.825682434937"
"PB","PP","8","260.395827774207"
"PB","PP","11","226.335593215989"
"PB","PP","12","118.949121211107"
"PB","PP","14","192.660644296655"
"PB","PP","17","247.977183696652"
"PB","PP","22","682.699298940329"
"PP","DM","2","402.090507262483"
"PP","DM","4","903.977037917998"
"PP","DM","8","610.414147810628"
"PP","DM","11","648.685007923407"
"PP","DM","12","646.908796785485"
"PP","DM","14","558.679371943487"
"PP","DM","17","696.471796854326"
"PP","DM","22","157.988269513038"
"DM","None","2","166.682992434266"
"DM","None","4","49.1151880031359"
"DM","None","8","54.5371141622422"
"DM","None","11","524.465716709972"
"DM","None","12","348.540773133409"
"DM","None","14","697.745404394477"
"DM","None","17","305.747337900826"
"DM","None","22","130.336116251113"
"OT","DM","2","150.605160494213"
"OT","DM","4","95.6731417999046"
"OT","DM","8","70.9822097870033"
"OT","DM","11","105.49765514466"
"OT","DM","12","158.459443235966"
"OT","DM","14","104.170049183566"
"OT","DM","17","143.372194223739"
"OT","DM","22","117.276366860862"
"DO","DM","2","85.6878216347022"
"DO","DM","4","427.245899860405"
"DO","DM","8","488.521916965855"
"DO","DM","11","40.5651501720315"
"DO","DM","12","207.364837489663"
"DO","DM","14","168.775570653538"
"DO","DM","17","219.691146000374"
"DO","DM","22","error"
"PB","DM","2","636.294762889282"
"PB","DM","4","204.210945698598"
"PB","DM","8","261.175157991747"
"PB","DM","11","227.538876762172"
"PB","DM","12","121.513846444902"
"PB","DM","14","190.100245129733"
"PB","DM","17","248.781688349025"
"PB","DM","22","684.449366612073"
"PP","OT","2","405.112694326194"
"PP","OT","4","903.964717215393"
"PP","OT","8","624.037211955343"
"PP","OT","11","648.553340993613"
"PP","OT","12","642.502661189781"
"PP","OT","14","559.791945008171"
"PP","OT","17","696.173352531387"
"PP","OT","22","151.542823829804"
"DM","OT","2","166.958300930142"
"DM","OT","4","47.6886117392791"
"DM","OT","8","55.203010145518"
"DM","OT","11","523.86725032079"
"DM","OT","12","350.490151664603"
"DM","OT","14","699.576167980894"
"DM","OT","17","301.538307168716"
"DM","OT","22","128.148894056965"
"OT","None","2","150.260426391792"
"OT","None","4","95.808114825035"
"OT","None","8","68.9991529818551"
"OT","None","11","105.727384028221"
"OT","None","12","156.522032069038"
"OT","None","14","102.856282122251"
"OT","None","17","141.798534572669"
"OT","None","22","115.983377935201"
"DO","OT","2","83.7232861188588"
"DO","OT","4","427.00084827417"
"DO","OT","8","491.249967606175"
"DO","OT","11","38.5902296753898"
"DO","OT","12","206.985844519513"
"DO","OT","14","163.266411538216"
"DO","OT","17","223.10115072911"
"DO","OT","22","error"
"PB","OT","2","637.500420493181"
"PB","OT","4","204.6966410508"
"PB","OT","8","258.416419489796"
"PB","OT","11","227.608552252707"
"PB","OT","12","120.395334115346"
"PB","OT","14","192.930028764725"
"PB","OT","17","247.356205124407"
"PB","OT","22","684.482113864861"
"PP","DO","2","404.768650893129"
"PP","DO","4","903.693582196776"
"PP","DO","8","624.771844915147"
"PP","DO","11","643.310923249266"
"PP","DO","12","646.827144723223"
"PP","DO","14","560.153325450093"
"PP","DO","17","696.862881610957"
"PP","DO","22","158.136472178735"
"DM","DO","2","168.676982730346"
"DM","DO","4","49.9668061711248"
"DM","DO","8","56.5285375178716"
"DM","DO","11","525.663763695215"
"DM","DO","12","347.97332687858"
"DM","DO","14","696.400511981417"
"DM","DO","17","306.680112648448"
"DM","DO","22","131.401210701191"
"OT","DO","2","152.251481650277"
"OT","DO","4","95.1998450088939"
"OT","DO","8","70.1030278731908"
"OT","DO","11","106.49109230273"
"OT","DO","12","158.346716969815"
"OT","DO","14","104.141873991792"
"OT","DO","17","142.332491898612"
"OT","DO","22","115.13316049924"
"DO","None","2","83.8330061752722"
"DO","None","4","425.287788349196"
"DO","None","8","490.212729549102"
"DO","None","11","39.0581081345318"
"DO","None","12","206.088186486688"
"DO","None","14","166.808671018383"
"DO","None","17","227.133458291085"
"DO","None","22","error"
"PB","DO","2","630.881340025291"
"PB","DO","4","204.338879016664"
"PB","DO","8","262.803331847022"
"PB","DO","11","227.644339332021"
"PB","DO","12","123.380921360093"
"PB","DO","14","192.81432129753"
"PB","DO","17","248.8990697647"
"PB","DO","22","684.185392689777"
"PP","PB","2","405.652668271231"
"PP","PB","4","895.492897067092"
"PP","PB","8","625.174019509443"
"PP","PB","11","644.749973443351"
"PP","PB","12","646.933277203292"
"PP","PB","14","560.068988335343"
"PP","PB","17","696.822880131484"
"PP","PB","22","155.809967249768"
"DM","PB","2","165.731165227302"
"DM","PB","4","51.1093027498617"
"DM","PB","8","54.4701103903204"
"DM","PB","11","526.253433603584"
"DM","PB","12","347.956176211995"
"DM","PB","14","697.805902823613"
"DM","PB","17","306.008424348922"
"DM","PB","22","132.022032423039"
"OT","PB","2","151.681487746715"
"OT","PB","4","97.551624788568"
"OT","PB","8","70.2020218945413"
"OT","PB","11","107.700505377569"
"OT","PB","12","157.862346180387"
"OT","PB","14","104.23093291657"
"OT","PB","17","141.148965208505"
"OT","PB","22","117.982189359722"
"DO","PB","2","85.1149399067096"
"DO","PB","4","427.170441088621"
"DO","PB","8","492.196228381963"
"DO","PB","11","39.743907561157"
"DO","PB","12","207.994516969864"
"DO","PB","14","166.79462121705"
"DO","PB","17","225.156587055426"
"DO","PB","22","error"
"PB","None","2","635.510812339176"
"PB","None","4","202.698984268249"
"PB","None","8","260.891708948858"
"PB","None","11","225.669697117249"
"PB","None","12","121.759061690911"
"PB","None","14","191.218165819171"
"PB","None","17","247.036630134652"
"PB","None","22","682.52199531718"
